class_id,name,description
"0","tench","tench, Tinca tinca"
"1","goldfish","goldfish, Carassius auratus"
"2","great_white_shark","great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias"
"3","tiger_shark","tiger shark, Galeocerdo cuvieri"
"4","hammerhead","hammerhead, hammerhead shark"
"5","electric_ray","electric ray, crampfish, numbfish, torpedo"
"6","stingray","stingray"
"7","cock","cock"
"8","hen","hen"
"9","ostrich","ostrich, Struthio camelus"
"10","brambling","brambling, Fringilla montifringilla"
"11","goldfinch","goldfinch, Carduelis carduelis"
"12","house_finch","house finch, linnet, Carpodacus mexicanus"
"13","junco","junco, snowbird"
"14","indigo_bunting","indigo bunting, indigo finch, indigo bird, Passerina cyanea"
"15","robin","robin, American robin, Turdus migratorius"
"16","bulbul","bulbul"
"17","jay","jay"
"18","magpie","magpie"
"19","chickadee","chickadee"
"20","water_ouzel","water ouzel, dipper"
"21","kite","kite"
"22","bald_eagle","bald eagle, American eagle, Haliaeetus leucocephalus"
"23","vulture","vulture"
"24","great_grey_owl","great grey owl, great gray owl, Strix nebulosa"
"25","European_fire_salamander","European fire salamander, Salamandra salamandra"
"26","common_newt","common newt, Triturus vulgaris"
"27","eft","eft"
"28","spotted_salamander","spotted salamander, Ambystoma maculatum"
"29","axolotl","axolotl, mud puppy, Ambystoma mexicanum"
"30","bullfrog","bullfrog, Rana catesbeiana"
"31","tree_frog","tree frog, tree-frog"
"32","tailed_frog","tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui"
"33","loggerhead","loggerhead, loggerhead turtle, Caretta caretta"
"34","leatherback_turtle","leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea"
"35","mud_turtle","mud turtle"
"36","terrapin","terrapin"
"37","box_turtle","box turtle, box tortoise"
"38","banded_gecko","banded gecko"
"39","common_iguana","common iguana, iguana, Iguana iguana"
"40","American_chameleon","American chameleon, anole, Anolis carolinensis"
"41","whiptail","whiptail, whiptail lizard"
"42","agama","agama"
"43","frilled_lizard","frilled lizard, Chlamydosaurus kingi"
"44","alligator_lizard","alligator lizard"
"45","Gila_monster","Gila monster, Heloderma suspectum"
"46","green_lizard","green lizard, Lacerta viridis"
"47","African_chameleon","African chameleon, Chamaeleo chamaeleon"
"48","Komodo_dragon","Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis"
"49","African_crocodile","African crocodile, Nile crocodile, Crocodylus niloticus"
"50","American_alligator","American alligator, Alligator mississipiensis"
"51","triceratops","triceratops"
"52","thunder_snake","thunder snake, worm snake, Carphophis amoenus"
"53","ringneck_snake","ringneck snake, ring-necked snake, ring snake"
"54","hognose_snake","hognose snake, puff adder, sand viper"
"55","green_snake","green snake, grass snake"
"56","king_snake","king snake, kingsnake"
"57","garter_snake","garter snake, grass snake"
"58","water_snake","water snake"
"59","vine_snake","vine snake"
"60","night_snake","night snake, Hypsiglena torquata"
